address,name,category
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,Binance 24,CEX
0x2e581a5ae722207aa59acd3939771e7c7052dd3d,Binance 25,CEX
0x44592b81c05b4c35efb8424eb9d62538b949ebbf,Binance 26,CEX
0xa344c7ada83113b3b56941f6e85bf2eb425949f3,Binance 27,CEX
0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance 28,CEX
0x06a0048079ec6571cd1b537418869cde6191d42d,Binance 29,CEX
0x564286362092d8e7936f0549571a803b203aaced,Binance 3,CEX
0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,Binance 30,CEX
0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,Binance 31,CEX
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,Binance 32,CEX
0x50d669f43b484166680ecc3670e4766cdb0945ce,Binance 33,CEX
0x2f7e209e0f5f645c7612d7610193fe268f118b28,Binance 34,CEX
0xd9d93951896b4ef97d251334ef2a0e39f6f6d7d7,Binance 35,CEX
0x19184ab45c40c2920b0e0e31413b9434abd243ed,Binance 39,CEX
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance 4,CEX
0x294b9b133ca7bc8ed2cdd03ba661a4c6d3a834d9,Binance 41,CEX
0x5d7f34372fa8708e09689d400a613eee67f75543,Binance 42,CEX
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance 5,CEX
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance 6,CEX
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,CEX
0xf977814e90da44bfa03b6295a0616a897441acec,Binance 8,CEX
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance 9,CEX
0xc3501eaaf5e29aa0529342f409443120fd545ea7,Binance Beacon ETH,CEX
0x8b99f3660622e21f2910ecca7fbe51d654a1517d,Binance Charity,CEX
0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance JEX,CEX
0xc365c3315cf926351ccaf13fa7d19c8c4058c8e1,Binance Pool,CEX
